,料號
28,B00215008
29,B00216005
35,B00950006
36,B00970002
39,B03251164
40,B03251310
45,B04820007
46,B04904105
47,B05469023
48,B05569026
49,B05569068
50,B05569103
51,B07109004
52,B07202101
55,B08142448
57,B08320206
60,B10990159
61,B13331008
62,B13332005
65,B13700102
79,D00669305
83,F10110303
84,F11010008
85,F20111009
88,G10705008
89,G80100001
90,G80501505
91,G80503107
92,G80504051
93,G80506039
94,G81100016
95,G81200207
101,J00202506
102,K80001908
103,K80003312
104,K80004028
107,K82430234
109,K82600612
117,U00611003
122,V02204118
123,V04451006
124,V04702002
127,Z24109584
128,Z25200010
134,B00105100
135,B03353000
145,U00202050
150,B00103106
151,B03352003
152,B05001051
153,B13700205
154,B13700308
155,G80505008
165,C00211059
166,G81300012
169,T02302016
170,Z24105417
188,B13500754
191,C90510003
193,T04300024
196,C08224652
199,B00106107
200,B00400609
201,B00606059
207,B10238574
211,Z25311145
214,U00100045
215,A10123008
219,C00123254
223,B13500455
224,B13500558
225,B13500619
231,J00610007
233,Z25132049
234,Z25211869
235,Z26720137
239,B00102109
243,V01100853
250,G80100027
256,M00030327
258,C02100500
259,G80502057
260,T02130909
267,D00699402
268,K83000312
270,C90330003
350,A00421108
353,A04200038
355,B05904451
373,A02120209
375,C13931431
389,B05569084
